timestamp,vantage_point,category,target,target_ip,protocol,port,num_hops,success,duration_seconds,hop_num,hop_ip,hop_rtt_avg
2025-10-13T17:56:08.834147,cht-mobile,universities,ncku.edu.tw,140.116.229.1,icmp,,10,True,10.59,2,10.159.65.141,253.7
2025-10-13T17:56:08.834147,cht-mobile,universities,ncku.edu.tw,140.116.229.1,icmp,,10,True,10.59,3,10.159.65.81,29.13
2025-10-13T17:56:08.834147,cht-mobile,universities,ncku.edu.tw,140.116.229.1,icmp,,10,True,10.59,4,10.159.67.167,28.28
2025-10-13T17:56:08.834147,cht-mobile,universities,ncku.edu.tw,140.116.229.1,icmp,,10,True,10.59,5,10.159.67.178,34.74
2025-10-13T17:56:08.834147,cht-mobile,universities,ncku.edu.tw,140.116.229.1,icmp,,10,True,10.59,6,210.65.126.198,36.26
2025-10-13T17:56:08.834147,cht-mobile,universities,ncku.edu.tw,140.116.229.1,icmp,,10,True,10.59,7,*,
2025-10-13T17:56:08.834147,cht-mobile,universities,ncku.edu.tw,140.116.229.1,icmp,,10,True,10.59,8,220.128.25.69,43.45
2025-10-13T17:56:08.834147,cht-mobile,universities,ncku.edu.tw,140.116.229.1,icmp,,10,True,10.59,9,211.22.226.13,28.4
2025-10-13T17:56:08.834147,cht-mobile,universities,ncku.edu.tw,140.116.229.1,icmp,,10,True,10.59,10,140.116.243.178,30.08
2025-10-13T17:56:08.834147,cht-mobile,universities,ncku.edu.tw,140.116.229.1,icmp,,10,True,10.59,11,140.116.229.1,30.27
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,2,10.159.65.141,157.44
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,3,10.159.65.85,35.14
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,4,10.159.67.167,45.79
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,5,10.159.67.178,34.12
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,6,210.65.126.198,30.06
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,7,*,
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,8,220.128.9.62,40.24
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,9,220.128.8.149,30.01
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,10,211.22.39.249,42.96
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,11,203.75.135.45,40.43
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,12,203.71.2.162,34.24
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,13,140.135.1.30,33.34
2025-10-13T17:58:42.591263,cht-mobile,universities,cycu.edu.tw,140.135.201.3,icmp,,13,True,10.71,14,140.135.201.3,28.87
2025-10-13T17:59:09.614082,cht-mobile,universities,nccu.edu.tw,140.119.166.199,icmp,,13,True,19.91,2,10.159.65.141,186.89
2025-10-13T17:59:09.614082,cht-mobile,universities,nccu.edu.tw,140.119.166.199,icmp,,13,True,19.91,3,10.159.65.81,32.3
2025-10-13T17:59:09.614082,cht-mobile,universities,nccu.edu.tw,140.119.166.199,icmp,,13,True,19.91,4,10.159.67.167,31.22
2025-10-13T17:59:09.614082,cht-mobile,universities,nccu.edu.tw,140.119.166.199,icmp,,13,True,19.91,5,10.159.67.177,54.72
2025-10-13T17:59:09.614082,cht-mobile,universities,nccu.edu.tw,140.119.166.199,icmp,,13,True,19.91,6,210.65.126.194,44.59
2025-10-13T17:59:09.614082,cht-mobile,universities,nccu.edu.tw,140.119.166.199,icmp,,13,True,19.91,7,*,
2025-10-13T17:59:09.614082,cht-mobile,universities,nccu.edu.tw,140.119.166.199,icmp,,13,True,19.91,8,220.128.9.62,66.27
